m1 m2 m3 m4 m5 m6 m7 t1_timing_profile t2_timing_profile t3_timing_profile t4_timing_profile t5_timing_profile t6_timing_profile t7_timing_profile t8_timing_profile
12 17 -783.544 -785.922 -637.181 -638.729 -636.975 9244.39 9249.1 9253.67 9267.43 9278.47 9287.74 9292.09 9295.95
7 10 -708.652 -769.844 -563.477 -770.623 -791.131 9765.33 9769.9 9774.57 9791.18 9805.48 9813.19 9816.21 9819.53
14 22 -781.383 -810.462 -781.913 -801.741 -823.773 0.000686217 0.166164 0.339659 20.4752 39.0753 56.0342 73.3552 90.4304
12 11 -780.588 -820.084 151169 -500.49 -537.253 125.996 126.32 126.729 139.46 151.227 163.397 166.437 169.152
12 22 -841.139 -871.938 -430.754 -533.037 -551.96 580.729 581.75 582.566 605.537 626.713 647.621 650.642 653.547
17 6 -679.146 -708.41 -629.757 -770.031 -777.551 1605.01 1606.96 1609.47 1618.84 1625.88 1630.15 1632.58 1635.27
7 4 -753.475 -765.204 -586.781 -703.5 -683.327 1995.62 1997.73 1999.68 2008.24 2015.53 2024.16 2028.76 2033.54
13 13 -851.142 -942.751 -587.196 -578.965 -601.386 2630.1 2632.56 2634.88 2648.61 2662.06 2670.35 2674.4 2679.07
13 1 -696.582 -751.069 -685.94 -765.514 -809.25 3252.47 3255.15 3257.55 3262.9 3267.78 3285.31 3299.32 3313.79
6 6 -736.425 -796.728 -687.658 -804.316 -886.346 3418.08 3420.96 3424.23 3433.42 3439.99 3452.03 3462.87 3472.75
10 19 -785.375 -811.182 -315.174 -540.855 -562.225 4530.17 4533.46 4537.08 4551.45 4562.7 4593.85 4596.2 4599.29
17 11 -848.176 -841.351 -768.843 -854.651 -893.76 61.7439 62.2041 62.6001 77.14 91.6 107.297 120.327 132.156
16 7 -740.287 -763.134 -657.232 -752.103 -767.819 198.871 199.416 199.917 210.143 218.359 227.354 235.152 242.591
13 8 -665.661 -652.861 -627.019 -645.591 -650.228 713.689 714.846 715.722 725.799 733.749 737.432 739.839 742.631
13 2 -699.682 -747.172 -620.389 -639.563 -674.427 2134.16 2136.38 2139.58 2145.88 2151.13 2162.67 2167.72 2172.97
10 1 -870.707 -903.426 -379.896 -512.297 -532.111 2261.41 2263.65 2265.61 2272.38 2277.21 2296.44 2299.47 2302.91
12 3 -724.01 -736.35 443386 -447.235 -558.925 2703.54 2705.88 2708.88 2716.9 2723.49 2768.03 2778.06 2781.11
11 14 -820.031 -801.978 -661.673 -672.009 -671.478 3095.72 3098.29 3100.82 3112.88 3123.03 3132.51 3137.48 3142.5
14 12 -755.115 -755.044 -688.845 -725.328 -727.849 3847.36 3850.22 3853.1 3862.19 3868.32 3874.41 3877.94 3881.78
18 12 -653.921 -753.868 120563 -419.841 -516.161 6474.31 6478.06 6481.86 6495.5 6508.48 6526.05 6529.52 6532.04
10 4 -761.069 -775.101 -499.552 -578.549 -594.924 8967.33 8971.75 8975.5 8983.07 8990.13 9013.9 9017.8 9021.67
12 8 -711.273 -745.786 -558.385 -656.487 -657.525 9966.09 9970.96 9975.58 9985.73 9995.55 10009.3 10013.2 10016.8
6 10 -797.243 -790.296 -750.98 -767.499 -771.739 5.59325 5.78516 5.98893 20.0084 31.5594 35.6799 40.2486 44.3967
9 15 -858.263 -840.229 223526 -457.817 -577.133 113.298 113.841 114.572 127.794 139.904 179.16 184.923 189.154
6 9 -675.078 -752.574 -690.347 -722.941 -761.723 963.119 964.864 967.117 977.816 987.34 994.69 999.959 1005.3
9 14 -752.258 -805.466 -726.945 -723.541 -711.916 1693.77 1695.87 1698.85 1711.27 1721.47 1726.75 1729.68 1732.55
7 17 -825.072 -853.368 -845.907 -858.054 -870.068 1857.31 1859.79 1862.37 1877.5 1890.56 1896.18 1899.53 1902.91
4 14 -826.263 -857.476 627648 5314.4 560425 2082.38 2084.67 2087.08 2101.48 2114.76 2156 2181.49 2185.64
11 3 -689.164 -691.512 -741.709 -738.517 -749.865 2216.58 2218.54 2220.61 2228.06 2233.95 2239.82 2243.5 2246.99
6 13 -821.045 -816.815 -687.099 -697.983 -709.137 4532.78 4536.3 4540.44 4554.96 4568.67 4579.55 4584.51 4589.22
6 5 -733.007 -755.515 -585.81 -629.907 -629.443 4785.4 4788.51 4792.06 4800.36 4807.36 4815.26 4818.45 4821.9
8 12 -834.424 -861.334 -721.805 -821.988 -809.948 7188.89 7192.75 7196.08 7208.13 7218.13 7229.55 7236.5 7243.23
13 12 -715.073 -744.49 -649.08 -648.01 -649.451 7274.11 7278.02 7281.89 7293.95 7304.21 7314.04 7317.82 7322.09
6 8 -713.183 -764.946 -563.399 -732.347 -731.62 7866.07 7869.98 7874.36 7884.91 7892.93 7902.85 7906.8 7910.72
6 5 -683.878 -709.443 -632.832 -630.121 -631.507 8561.93 8565.99 8570.37 8575.87 8580.31 8587.65 8590.88 8594.27
6 2 -635.055 -633.691 -658.92 -679.824 -684.574 9496.25 9500.86 9505.54 9512.56 9518.57 9530.31 9535.15 9539.83
11 2 -721.403 -726.73 -430.704 -603.107 -622.512 301.725 302.518 303.436 309.668 315.019 323.051 327.542 331.796
10 13 -758.342 -819.541 -696.948 -725.408 -762.819 653.457 654.678 655.661 667.365 677.086 691.629 703.307 714.459
11 11 -811.057 -845.231 62141.1 -602.342 -631.909 2647.12 2649.52 2652.36 2662.62 2671.54 2702.51 2705.75 2708.9
6 10 -711.554 -780.417 -788.832 -757.177 -754.783 2922.93 2925.5 2927.65 2942.51 2955.17 2961.44 2964.15 2967.02
18 7 -723.683 -842.422 -608.158 -670.818 -684.151 3196.84 3199.53 3202.46 3211.31 3218.49 3226.75 3231.24 3235.46
6 12 -755.792 -761.862 -622.677 -665.431 -664.924 5304.71 5308.07 5312.29 5324.65 5333.66 5340.62 5343.93 5347.46
6 5 -661.345 -696.177 -635.215 -734.755 -728.489 5673.87 5677.4 5680.65 5688.19 5696.09 5703.66 5708.83 5713.92
14 9 -803.053 -809.616 -673.926 -681.7 -683.279 7116.53 7120.61 7124.71 7136.28 7143.8 7151.33 7154.69 7157.57
10 8 -816.199 -886.584 -572.65 -588.895 -596.305 8016.49 8020.82 8025.31 8036.08 8044.72 8055.37 8060.24 8065.34
10 24 -824.85 -848 -766.79 -804.874 -826.494 0.663738 0.851113 1.06372 27.1373 51.6101 68.7779 83.9999 99.076
4 11 -763.38 -813.198 -723.551 -738.709 -797.135 140.551 140.91 141.25 155.156 168.474 180.055 185.465 190.194
15 21 -842.458 -895.527 1386.92 -536.236 -604.982 921.036 922.41 923.617 945.977 967.819 995.189 1001.05 1005.05
15 2 -687.216 -697.797 26236.4 -704.237 -726.377 1193.24 1194.85 1196.54 1202.37 1207.11 1222.16 1225.37 1227.91
9 16 -755.885 -804.56 109879 3780.34 -700.093 4620.6 4623.75 4627.79 4642.7 4657.17 4690.84 4695.85 4700.71
15 10 -635.345 -741.883 -625.52 -639.666 -638.792 8294.99 8299.41 8304.46 8315.92 8325.23 8334.3 8338.04 8341.75
7 6 -771.802 -796.267 178376 57784.7 -534.803 8826.48 8831.03 8835.99 8845.01 8852 8895.96 8915.09 8918.25
13 2 -577.916 -681.412 -778.821 -780.565 -786.205 9312.98 9317.75 9322.25 9329.76 9334.32 9341.96 9344.44 9347.64
7 11 -755.035 -875.869 -815.463 -829.305 -865.156 5.82434 6.05243 6.26326 17.5669 28.9352 35.9327 44.5279 53.0215
7 8 -725.968 -723.318 13353.9 40702.3 -604.99 146.212 146.742 147.277 158.651 168.082 184.831 190.689 193.957
9 1 -482.485 -571.765 -659.371 -678.987 -680.268 389.971 390.843 391.933 398.663 404.027 408.826 413.079 417.423
13 7 -735.942 -738.237 -750.685 -773.419 -776.682 667.729 668.917 670.245 678.355 684.768 690.706 694.816 699.027
7 4 -647.24 -727.18 -548.935 -635.017 -644.916 1038.21 1039.7 1041.34 1049.82 1057.97 1064.11 1068.42 1072.65
7 15 -791.462 -831.589 -702.759 -745.432 -746.105 2526.62 2528.93 2531.72 2545.9 2561.59 2570.27 2574.27 2577.59
15 7 -810.974 -835.374 -736.275 -745.106 -750.158 5390.5 5393.9 5396.95 5404.61 5410.88 5421.1 5424.62 5428.15
1 16 -815.068 -850.417 -747.031 -765.888 -809.25 5498.91 5502.37 5506.23 5524.04 5541.04 5548.56 5552.34 5556.1
12 8 -756.796 -753.498 426759 332448 -475.547 5727.27 5730.97 5734.92 5742.85 5749.82 5765.57 5778.43 5782.35
13 6 -707.05 -775.266 337582 -556.369 -702.949 6287.7 6291.37 6295.26 6304.25 6311.73 6341.45 6351.24 6356.8
14 1 -597.697 -724.422 -672.929 -730.972 -765.28 7745.71 7749.83 7754.46 7761.23 7766.24 7793.72 7805.09 7817.85
5 18 -703.16 -695.491 -565.851 -750.154 -764.283 101.653 102.113 102.582 114.923 126.063 144.747 149.446 153.867
14 6 -590.68 -721.795 -706.976 -708.019 -701.13 183.329 183.87 184.573 192.404 198.354 202.31 206.801 211.456
9 15 -767.183 -781.653 250766 -549.929 -618.971 2320.23 2322.58 2325.31 2339.25 2351.96 2393.75 2399.07 2402.14
4 20 -792.393 -807.585 -750.72 -913.439 -912.024 3628.77 3631.62 3634.24 3655.14 3673.81 3679.99 3683.28 3686.6
6 8 -731.068 -801.08 -648.428 -662.929 -662.954 3788.35 3791.32 3794.99 3804.18 3812 3820.57 3824.46 3828.32
12 1 -744.078 -748.048 -738.022 -737.331 -763.402 5800.05 5803.7 5806.76 5812.36 5816.53 5827.03 5833.12 5839.17
12 10 -710.825 -733.684 -433.693 -507.892 -544.053 6828.64 6832.57 6835.94 6846.84 6855.62 6871.56 6875.86 6879.84
7 1 -603.17 -668.713 -741.137 -811.599 -824.918 7070.81 7074.88 7079.18 7084.15 7087.93 7113.32 7127.25 7140.42
15 1 -681.395 -693.505 -657.261 -660.484 -694.296 159.035 159.667 160.29 166.863 172.234 176.7 180.632 184.692
12 12 -823.775 -892.174 -729.251 -731.609 -730.533 700.795 702.072 703.539 715.428 725.868 730.116 733.803 737.355
16 2 -774.068 -780.668 -544.698 -678.368 -679.415 756.591 757.953 759.304 766.147 770.99 776.174 779.58 783.107
13 4 -733.271 -762.193 -658.284 -648.932 -655.663 1002.48 1003.95 1005.57 1013.95 1020.67 1025.3 1028.56 1032.13
8 8 -603.479 -674.627 960.521 -542.638 -614.926 1993.57 1995.76 1998.4 2008.33 2016.67 2049.75 2055.1 2059.73
11 6 -739.284 -871.306 -676.123 -774.449 -797.097 2869.63 2872.14 2875.41 2884.29 2893.07 2914.23 2926.43 2938.29
14 13 -775.497 -785.994 -649.704 -723.516 -725.507 4267.35 4270.4 4273.59 4284.58 4294.54 4303.17 4307.08 4310.93
9 11 -726.984 -726.329 -678.133 -700.164 -699.452 4388.49 4391.69 4395.49 4407.9 4419.16 4426.56 4429.69 4432.8
17 9 -783.75 -814.161 -399.411 -626.875 -655.601 382.935 383.823 384.687 393.8 401.956 416.172 421.257 425.831
4 7 -779.73 -822.156 -699.914 -801.267 -874.236 480.465 481.531 482.708 493.974 503.044 525.782 534.305 542.432
11 2 -741.589 -795.005 -633.962 -647.772 -650.462 2642.01 2644.45 2646.6 2652.02 2655.95 2665.45 2669.09 2672.59
15 17 -877.932 -875.246 -688.46 -686.465 -703.214 3348.38 3351.07 3354.1 3371.65 3387.86 3393.29 3395.91 3398.85
15 6 -766.47 -771.871 97711 -442.036 -588.416 4982.54 4985.91 4989.13 4997.22 5004.26 5034.19 5041.34 5046.06
10 12 -858.911 -823.128 218940 1999.79 -391.962 7018.73 7022.75 7027.26 7046.7 7065.13 7107.35 7111.51 7114.77
11 17 -814.384 -865.169 -722.001 -730.101 -737.81 8356.83 8361.19 8365.55 8382.01 8395.67 8404 8406.9 8410.12
6 18 -720.93 -788.725 -670.287 -696.916 -697.898 8493.29 8497.6 8502.25 8521.84 8538.23 8547.66 8551.22 8554.21
7 1 -625.412 -714.197 -677.296 -705.113 -703.817 34.8813 35.1958 35.4552 41.3429 45.6264 49.4338 53.497 57.4361
8 2 -717.829 -767.663 -623.082 -633.374 -633.831 157.13 157.734 158.295 164.233 169.392 174.637 178.888 182.879
7 2 -641.352 -673.355 -457.998 -485.607 -522.362 202.861 203.505 204.123 210.51 215.971 227.85 230.59 233.396
8 9 -811.358 -817.87 -633.322 -665.211 -675.831 311.84 312.647 313.27 325.105 334.854 348.174 352.777 356.961
11 13 -797.36 -825.252 -711.217 -748.92 -751.956 360.874 361.687 362.537 373.839 384.405 393.47 399.11 403.529
18 14 -801.961 -859.602 11553.4 -605.135 -641.567 759.759 760.954 762.31 779.48 795.952 821.982 824.78 827.474
14 6 -676.664 -688.157 -645.555 -698.524 -694.501 1155.81 1157.26 1159.31 1167.47 1174.55 1190.12 1195.26 1200.2
5 17 -733.269 -799.388 -697.352 -787.299 -800.141 2052.26 2054.34 2056.68 2074.03 2090.57 2108.66 2119.04 2129.43
10 7 -733.848 -745.914 -867.025 -972.326 -1005.61 2429.9 2432.15 2434.02 2441.62 2446.66 2465.01 2478.84 2491.91
14 14 -851.777 -916.003 -543.098 -664.11 -661.419 3572.82 3575.53 3578.63 3590.18 3600.65 3610.32 3613.12 3616.19
8 16 -760.086 -801.478 -601.017 -598.94 -604.058 4295.01 4298.07 4301.32 4315.84 4328.46 4335.37 4338.25 4341.44
13 2 -670.004 -738.816 -680.931 -692.436 -690.518 6549.29 6553.14 6556.75 6562.49 6567.82 6576.29 6580.2 6584.09
8 2 -707.437 -695.667 -377.907 -599.146 -612.429 8277 8281.3 8285.75 8290.64 8294.69 8310.3 8312.82 8315.82
6 10 -745.442 -773.216 -524.106 -599.118 -627.193 9006.38 9010.83 9015.02 9026.21 9036.14 9055.4 9063.72 9071.67
2 11 -707.128 -721.595 -501.266 -640.412 -682.649 9311.61 9316.37 9321.67 9332.93 9344.57 9359.09 9363.11 9366.9
14 18 -712.937 -755.576 -715.495 -734.241 -753.358 307.042 307.885 308.795 323.761 337.341 345.038 354.43 364.552
9 12 -752.337 -741.779 34362.8 -332.356 -547.482 453.122 454.15 455.317 467.748 480.001 510.292 517.699 520.893
12 7 -695.159 -694.797 -753.679 -868.93 -876.525 2835.13 2837.78 2839.93 2848.29 2854.21 2870.44 2885.42 2899.67
16 2 -621.449 -698.417 -561.141 -616.228 -634.417 3791.57 3794.49 3797.6 3803.94 3809.41 3827.26 3832.54 3837.71
13 4 -622.464 -763.247 -573.691 -598.663 -619.143 3858.52 3861.4 3864.31 3870.48 3875.86 3882.92 3887.32 3891.67
9 8 -755.725 -844.997 -630.469 -712.548 -759.768 3944 3946.88 3950.08 3958.85 3965.44 3981.12 3989.15 3997.66
10 5 -805.431 -861.13 -560.569 -651.204 -686.162 4411.04 4414.21 4417.43 4423.57 4428.32 4435.2 4438.32 4441.02
19 11 -744.725 -771.226 -585.281 -636.308 -620.508 8050.74 8054.89 8058.5 8069.24 8078.52 8094.09 8098.1 8102.22
6 15 -688.684 -753.383 -673.483 -708.997 -729.467 75.1576 75.5821 75.9058 88.0988 97.9552 113.22 120.149 125.762
